DDSM_RSNA_Vindr;DDSM_Vindr_RSNA;RSNA_DDSM_Vindr;RSNA_Vindr_DDSM;Vindr_DDSM_RSNA;Vindr_RSNA_DDSM;
0,3987;0,3901;0,0627;0,0033;0,0885;0,1925;
0,3484;0,3949;0,0825;0,0165;-0,0752;0,3473;
0,3149;0,0455;0,0858;0,066;0,2655;-0,0288;
0,2282;0,1169;0,033;0,0858;0,2611;0,2566;
0,3332;0,1847;-0,0033;0,0066;0,3916;0,0022;
0,2492;0,218;0,0429;0,0363;0,0354;0,3142;
0,3554;0,3628;0,033;0,0132;0,3827;0,0177;
0,3159;0,3715;0,0198;0,0396;0,0088;0,3208;
0,1929;0,3805;0,0528;0,0858;0,0885;0,0;
0,1575;0,3793;0,1089;0,0165;-0,0509;0,1991;
0,3651;0,2286;-0,0033;0,1056;0,208;0,3827;
0,3212;0,2833;0,0858;0,0594;0,0354;0,1903;
0,3392;0,3462;0,1254;0,0924;0,4336;-0,1726;
0,3139;0,3935;0,099;0,0033;0,1305;-0,0531;
0,4496;0,3349;-0,0099;0,1386;0,1372;-0,0044;
0,3793;0,3868;0,099;0,0495;0,0022;0,1504;
