DDSM_RSNA_Vindr;DDSM_Vindr_RSNA;RSNA_DDSM_Vindr;RSNA_Vindr_DDSM;Vindr_DDSM_RSNA;Vindr_RSNA_DDSM;
0,2401;0,1297;-0,0099;-0,0165;0,1305;0,0;
0,2885;0,2691;-0,0099;0,0132;0,0221;0,2456;
0,3107;0,2701;-0,0198;0,0363;0,0597;0,0465;
0,2478;0,2304;-0,0297;-0,0033;0,1527;0,3186;
0,2343;0,3069;-0,0132;0,0066;0,1659;0,0177;
0,2401;0,3204;0,0;-0,0132;0,3164;0,3186;
0,2933;0,1617;0,0627;0,0561;0,3562;0,0199;
0,2391;0,3214;0,0132;0,0033;0,4292;0,2788;
0,3388;0,2139;0,0528;0,0264;0,3274;0,0354;
0,2769;0,3243;0,0957;0,0924;0,2412;0,4513;
0,3195;0,3224;-0,0132;0,0429;-0,3142;-0,0841;
0,3262;0,3408;-0,0198;0,033;-0,3562;0,2035;
0,2778;0,3282;-0,0198;-0,0594;0,0288;0,3252;
0,2546;0,2991;0,0066;-0,0495;0,0044;0,0155;
0,3301;0,2197;-0,0528;0,1287;0,0708;0,0796;
0,3301;0,334;0,1584;0,0231;0,031;0,1372;
